price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6720000,5020.0,3,1,4,yes,no,no,no,yes,0.0,yes,unfurnished
6685000,6600.0,2,2,4,yes,no,yes,no,no,0.0,yes,furnished
6650000,4040.0,3,1,2,yes,no,yes,yes,no,1.0,no,furnished
6650000,4260.0,4,2,2,yes,no,no,yes,no,0.0,no,semi-furnished
6650000,6420.0,3,2,3,yes,,no,no,yes,0.0,yes,furnished
6650000,6500.0,3,2,3,yes,no,no,no,yes,0.0,yes,furnished
6650000,5700.0,3,1,1,yes,yes,yes,no,yes,2.0,yes,furnished
6650000,6000.0,3,2,3,yes,yes,no,no,yes,0.0,no,furnished
6629000,6000.0,3,1,2,yes,no,no,yes,no,1.0,yes,semi-furnished
6615000,4000.0,3,2,2,yes,no,yes,no,yes,1.0,no,semi-furnished
6615000,10500.0,3,2,1,yes,no,yes,no,yes,1.0,yes,furnished
6580000,6000.0,3,2,4,yes,no,no,no,yes,0.0,no,semi-furnished
6510000,3760.0,3,1,2,yes,no,no,yes,no,2.0,no,semi-furnished
6510000,8250.0,3,2,3,yes,no,no,no,yes,0.0,no,furnished
6510000,6670.0,3,1,3,yes,no,yes,no,no,0.0,yes,unfurnished
6475000,3960.0,3,1,1,yes,no,yes,no,no,2.0,no,semi-furnished
6475000,7410.0,3,1,1,yes,yes,yes,no,yes,2.0,yes,unfurnished
6440000,8580.0,5,3,2,yes,no,no,no,no,2.0,no,furnished
6440000,5000.0,3,1,2,yes,no,no,no,yes,0.0,no,semi-furnished
6419000,6750.0,2,1,1,yes,yes,yes,no,no,2.0,yes,furnished
6405000,4800.0,3,2,4,yes,yes,no,no,yes,0.0,no,furnished
6300000,7200.0,3,2,1,yes,no,yes,no,yes,3.0,no,semi-furnished
6300000,6000.0,4,2,4,yes,no,no,no,no,1.0,no,semi-furnished
6300000,4100.0,3,2,3,yes,,no,no,yes,2.0,no,semi-furnished
6300000,9000.0,3,1,1,yes,no,yes,no,no,1.0,yes,furnished
6300000,6400.0,3,1,1,yes,yes,yes,no,yes,1.0,yes,semi-furnished
6293000,6600.0,3,2,3,yes,no,no,no,yes,0.0,yes,unfurnished
6265000,6000.0,4,1,3,yes,yes,yes,no,no,0.0,yes,unfurnished
6230000,6600.0,3,2,1,yes,no,yes,no,yes,0.0,yes,unfurnished
6230000,5500.0,3,1,3,yes,no,no,no,no,1.0,yes,unfurnished
6195000,5500.0,3,2,4,yes,,no,no,yes,1.0,no,semi-furnished
6195000,6350.0,3,2,3,yes,,no,no,yes,0.0,no,furnished
6195000,5500.0,3,2,1,yes,yes,yes,no,no,2.0,yes,furnished
6160000,4500.0,3,1,4,yes,,no,no,yes,0.0,no,unfurnished
6160000,5450.0,4,2,1,yes,no,yes,no,yes,0.0,yes,semi-furnished
6125000,6420.0,3,1,3,yes,no,yes,no,no,0.0,yes,unfurnished
6107500,3240.0,4,1,3,yes,no,no,no,no,1.0,no,semi-furnished
6090000,6615.0,4,2,2,yes,yes,no,yes,no,1.0,no,semi-furnished
6090000,6600.0,3,1,1,yes,yes,yes,no,no,2.0,yes,semi-furnished
6090000,8372.0,3,1,3,yes,no,no,no,yes,2.0,no,unfurnished
6083000,4300.0,6,2,2,yes,no,no,no,no,0.0,no,furnished
6083000,9620.0,3,1,1,yes,no,yes,no,no,2.0,yes,furnished
6020000,6800.0,2,1,1,yes,yes,yes,no,no,2.0,no,furnished
6020000,8000.0,3,1,1,yes,yes,yes,no,yes,2.0,yes,semi-furnished
6020000,6900.0,3,2,1,yes,yes,yes,no,no,0.0,yes,unfurnished
5950000,3700.0,4,1,2,yes,yes,no,no,yes,0.0,no,furnished
5950000,6420.0,3,1,1,yes,no,yes,no,yes,0.0,yes,furnished
5950000,7020.0,3,1,1,yes,no,yes,no,yes,2.0,yes,semi-furnished
5950000,6540.0,3,1,1,yes,yes,yes,no,no,2.0,yes,furnished
5950000,7231.0,3,1,2,yes,yes,yes,no,yes,0.0,yes,semi-furnished
5950000,6254.0,4,2,1,yes,no,yes,no,no,1.0,yes,semi-furnished
5950000,7320.0,4,2,2,yes,no,no,no,no,0.0,no,furnished
5950000,6525.0,3,2,4,yes,no,no,no,no,1.0,no,furnished
5943000,15600.0,3,1,1,yes,no,no,no,yes,2.0,no,semi-furnished
5880000,7160.0,3,1,1,yes,no,yes,no,no,2.0,yes,unfurnished
5880000,6500.0,3,2,3,yes,no,no,no,yes,0.0,no,unfurnished
5873000,5500.0,3,1,3,yes,yes,no,no,yes,1.0,no,furnished
5873000,11460.0,3,1,3,yes,no,no,no,no,2.0,yes,semi-furnished
5866000,4800.0,3,1,1,yes,yes,yes,no,no,0.0,no,unfurnished
5810000,5828.0,4,1,4,yes,yes,no,no,no,0.0,no,semi-furnished
5810000,5200.0,3,1,3,yes,no,no,no,yes,0.0,no,semi-furnished
5810000,4800.0,3,1,3,yes,no,no,no,yes,0.0,no,unfurnished
5803000,7000.0,3,1,1,yes,no,yes,no,no,2.0,yes,semi-furnished
5775000,6000.0,3,2,4,yes,no,no,no,yes,0.0,no,unfurnished
5740000,5400.0,4,2,2,yes,no,no,no,yes,2.0,no,unfurnished
5740000,4640.0,4,1,2,yes,no,no,no,no,1.0,no,semi-furnished
5740000,5000.0,3,1,3,yes,no,no,no,yes,0.0,no,semi-furnished
5740000,6360.0,3,1,1,yes,yes,yes,no,yes,2.0,yes,furnished
5740000,5800.0,3,2,4,yes,no,no,no,yes,0.0,no,unfurnished
5652500,6660.0,4,2,2,yes,yes,yes,no,no,1.0,yes,semi-furnished
5600000,10500.0,4,2,2,yes,no,no,no,no,1.0,no,semi-furnished
5600000,4800.0,5,2,3,no,no,yes,yes,no,0.0,no,unfurnished
5600000,4700.0,4,1,2,yes,yes,yes,no,yes,1.0,no,furnished
5600000,5000.0,3,1,4,yes,,no,no,no,0.0,no,furnished
5600000,10500.0,2,1,1,yes,no,no,no,no,1.0,no,semi-furnished
5600000,5500.0,3,2,2,yes,no,no,no,no,1.0,no,semi-furnished
5600000,6360.0,3,1,3,yes,no,no,no,no,0.0,yes,semi-furnished
5600000,6600.0,4,2,1,yes,no,yes,no,no,0.0,yes,semi-furnished
5600000,5136.0,3,1,2,yes,yes,yes,no,yes,0.0,yes,unfurnished
5600000,5136.0,3,1,2,yes,yes,yes,no,yes,0.0,yes,unfurnished
5565000,4400.0,4,1,2,yes,no,no,no,yes,2.0,yes,semi-furnished
5565000,5400.0,5,1,2,yes,yes,yes,no,yes,0.0,yes,furnished
5530000,3300.0,3,3,2,yes,no,yes,no,no,0.0,no,semi-furnished
5530000,3650.0,3,2,2,yes,no,no,no,no,2.0,no,semi-furnished
5530000,6100.0,3,2,1,yes,no,yes,no,no,2.0,yes,furnished
5523000,6900.0,3,1,1,yes,yes,yes,no,no,0.0,yes,semi-furnished
5495000,2817.0,4,2,2,no,,yes,no,no,1.0,no,furnished
5495000,7980.0,3,1,1,yes,no,no,no,no,2.0,no,semi-furnished
5460000,3150.0,3,2,1,yes,yes,yes,no,yes,0.0,no,furnished
5460000,6210.0,4,1,4,yes,yes,no,no,yes,0.0,no,furnished
5460000,6100.0,3,1,3,yes,yes,no,no,yes,0.0,yes,semi-furnished
5460000,6600.0,4,2,2,yes,yes,yes,no,no,0.0,yes,semi-furnished
5425000,6825.0,3,1,1,yes,yes,yes,no,yes,0.0,yes,semi-furnished
5390000,6710.0,3,2,2,yes,yes,yes,no,no,1.0,yes,furnished
5383000,6450.0,3,2,1,yes,yes,yes,yes,no,0.0,no,unfurnished
5320000,7800.0,3,1,1,yes,no,yes,no,yes,2.0,yes,unfurnished
5285000,4600.0,2,2,1,yes,,no,no,yes,2.0,no,semi-furnished
5250000,4260.0,4,1,2,yes,no,yes,no,yes,0.0,no,furnished
5250000,6540.0,4,2,2,no,no,no,no,yes,0.0,no,semi-furnished
5250000,5500.0,3,2,1,yes,no,yes,no,no,0.0,no,semi-furnished
5250000,10269.0,3,1,1,yes,no,no,no,no,1.0,yes,semi-furnished
5250000,8400.0,3,1,2,yes,yes,yes,no,yes,2.0,yes,unfurnished
5250000,5300.0,4,2,1,yes,no,no,no,yes,0.0,yes,unfurnished
5250000,3800.0,3,1,2,yes,yes,yes,no,no,1.0,yes,unfurnished
5250000,9800.0,4,2,2,yes,yes,no,no,no,2.0,no,semi-furnished
5250000,8520.0,3,1,1,yes,no,no,no,yes,2.0,no,furnished
5243000,6050.0,3,1,1,yes,no,yes,no,no,0.0,yes,semi-furnished
5229000,7085.0,3,1,1,yes,yes,yes,no,no,2.0,yes,semi-furnished
5215000,3180.0,3,2,2,yes,no,no,no,no,2.0,no,semi-furnished
5215000,4500.0,4,2,1,no,,yes,no,yes,2.0,no,semi-furnished
5215000,7200.0,3,1,2,yes,yes,yes,no,no,1.0,yes,furnished
5145000,3410.0,3,1,2,no,no,no,no,yes,0.0,no,semi-furnished
5145000,7980.0,3,1,1,yes,no,no,no,no,1.0,yes,semi-furnished
5110000,3000.0,3,2,2,yes,yes,yes,no,no,0.0,no,furnished
5110000,3000.0,3,1,2,yes,no,yes,no,no,0.0,no,unfurnished
5110000,11410.0,2,1,2,yes,no,no,no,no,0.0,yes,furnished
5110000,6100.0,3,1,1,yes,no,yes,no,yes,0.0,yes,semi-furnished
5075000,5720.0,2,1,2,yes,no,no,no,yes,0.0,yes,unfurnished
5040000,3540.0,2,1,1,no,,yes,no,no,0.0,no,semi-furnished
5040000,7600.0,4,1,2,yes,no,no,no,yes,2.0,no,furnished
5040000,10700.0,3,1,2,yes,yes,yes,no,no,0.0,no,semi-furnished
5040000,6600.0,3,1,1,yes,yes,yes,no,no,0.0,yes,furnished
5033000,4800.0,2,1,1,yes,yes,yes,no,no,0.0,no,semi-furnished
5005000,8150.0,3,2,1,yes,yes,yes,no,no,0.0,no,semi-furnished
4970000,4410.0,4,3,2,yes,no,yes,no,no,2.0,no,semi-furnished
4970000,7686.0,3,1,1,yes,yes,yes,yes,no,0.0,no,semi-furnished
4956000,2800.0,3,2,2,no,no,yes,no,yes,1.0,no,semi-furnished
4935000,5948.0,3,1,2,yes,no,no,no,yes,0.0,no,semi-furnished
4907000,4200.0,3,1,2,yes,no,no,no,no,1.0,no,furnished
4900000,4520.0,3,1,2,yes,no,yes,no,yes,0.0,no,semi-furnished
4900000,4095.0,3,1,2,no,yes,yes,no,yes,0.0,no,semi-furnished
4900000,4120.0,2,1,1,yes,no,yes,no,no,1.0,no,semi-furnished
4900000,5400.0,4,1,2,yes,no,no,no,no,0.0,no,semi-furnished
4900000,4770.0,3,1,1,yes,yes,yes,no,no,0.0,no,semi-furnished
4900000,6300.0,3,1,1,yes,no,no,no,yes,2.0,no,semi-furnished
4900000,5800.0,2,1,1,yes,yes,yes,no,yes,0.0,no,semi-furnished
4900000,3000.0,3,1,2,yes,no,yes,no,yes,0.0,no,semi-furnished
4900000,2970.0,3,1,3,yes,no,no,no,no,0.0,no,semi-furnished
4900000,6720.0,3,1,1,yes,no,no,no,no,0.0,no,unfurnished
4900000,4646.0,3,1,2,yes,yes,yes,no,no,2.0,no,semi-furnished
4900000,12900.0,3,1,1,yes,no,no,no,no,2.0,no,furnished
4893000,3420.0,4,2,2,yes,no,yes,no,yes,2.0,no,semi-furnished
4893000,4995.0,4,2,1,yes,no,yes,no,no,0.0,no,semi-furnished
4865000,4350.0,2,1,1,yes,no,yes,no,no,0.0,no,unfurnished
4830000,4160.0,3,1,3,yes,,no,no,no,0.0,no,unfurnished
4830000,6040.0,3,1,1,yes,no,no,no,no,2.0,yes,semi-furnished
4830000,6862.0,3,1,2,yes,no,no,no,yes,2.0,yes,furnished
4830000,4815.0,2,1,1,yes,no,no,no,yes,0.0,yes,semi-furnished
4795000,7000.0,3,1,2,yes,no,yes,no,no,0.0,no,unfurnished
4795000,8100.0,4,1,4,yes,no,yes,no,yes,2.0,no,semi-furnished
4767000,3420.0,4,2,2,yes,no,no,no,no,0.0,no,semi-furnished
4760000,9166.0,2,1,1,yes,no,yes,no,yes,2.0,no,semi-furnished
4760000,6321.0,3,1,2,yes,no,yes,no,yes,1.0,no,furnished
4760000,10240.0,2,1,1,yes,no,no,no,yes,2.0,yes,unfurnished
4753000,6440.0,2,1,1,yes,no,no,no,yes,3.0,no,semi-furnished
4690000,5170.0,3,1,4,yes,no,no,no,yes,0.0,no,semi-furnished
4690000,6000.0,2,1,1,yes,no,yes,no,yes,1.0,no,furnished
4690000,3630.0,3,1,2,yes,no,no,no,no,2.0,no,semi-furnished
4690000,9667.0,4,2,2,yes,yes,yes,no,no,1.0,no,semi-furnished
4690000,5400.0,2,1,2,yes,no,no,no,no,0.0,yes,semi-furnished
4690000,4320.0,3,1,1,yes,no,no,no,no,0.0,yes,semi-furnished
4655000,3745.0,3,1,2,yes,no,yes,no,no,0.0,no,furnished
4620000,4160.0,3,1,1,yes,yes,yes,no,yes,0.0,no,unfurnished
4620000,3880.0,3,2,2,yes,no,yes,no,no,2.0,no,semi-furnished
4620000,5680.0,3,1,2,yes,yes,no,no,yes,1.0,no,semi-furnished
4620000,2870.0,2,1,2,yes,yes,yes,no,no,0.0,yes,semi-furnished
4620000,5010.0,3,1,2,yes,no,yes,no,no,0.0,no,semi-furnished
4613000,4510.0,4,2,2,yes,no,yes,no,no,0.0,no,semi-furnished
4585000,4000.0,3,1,2,yes,no,no,no,no,1.0,no,furnished
4585000,3840.0,3,1,2,yes,no,no,no,no,1.0,yes,semi-furnished
4550000,3760.0,3,1,1,yes,no,no,no,no,2.0,no,semi-furnished
4550000,3640.0,3,1,2,yes,no,no,no,yes,0.0,no,furnished
4550000,2550.0,3,1,2,yes,no,yes,no,no,0.0,no,furnished
4550000,5320.0,3,1,2,yes,yes,yes,no,no,0.0,yes,semi-furnished
4550000,5360.0,3,1,2,yes,no,no,no,no,2.0,yes,unfurnished
4550000,3520.0,3,1,1,yes,no,no,no,no,0.0,yes,semi-furnished
4550000,8400.0,4,1,4,yes,no,no,no,no,3.0,no,unfurnished
4543000,4100.0,2,2,1,yes,yes,yes,no,no,0.0,no,semi-furnished
4543000,4990.0,4,2,2,yes,yes,yes,no,no,0.0,yes,furnished
4515000,3510.0,3,1,3,yes,no,no,no,no,0.0,no,semi-furnished
4515000,3450.0,3,1,2,yes,no,yes,no,no,1.0,no,semi-furnished
4515000,9860.0,3,1,1,yes,no,no,no,no,0.0,no,semi-furnished
4515000,3520.0,2,1,2,yes,no,no,no,no,0.0,yes,furnished
4480000,4510.0,4,1,2,yes,no,no,no,yes,2.0,no,semi-furnished
4480000,5885.0,2,1,1,yes,no,no,no,yes,1.0,no,unfurnished
4480000,4000.0,3,1,2,yes,no,no,no,no,2.0,no,furnished
4480000,8250.0,3,1,1,yes,no,no,no,no,0.0,no,furnished
4480000,4040.0,3,1,2,yes,no,no,no,no,1.0,no,semi-furnished
4473000,6360.0,2,1,1,yes,no,yes,no,yes,1.0,no,furnished
4473000,3162.0,3,1,2,yes,no,no,no,yes,1.0,no,furnished
4473000,3510.0,3,1,2,yes,no,no,no,no,0.0,no,semi-furnished
4445000,3750.0,2,1,1,yes,yes,yes,no,no,0.0,no,semi-furnished
4410000,3968.0,3,1,2,no,no,no,no,no,0.0,no,semi-furnished
4410000,4900.0,2,1,2,yes,no,yes,no,no,0.0,no,semi-furnished
4403000,2880.0,3,1,2,yes,no,no,no,no,0.0,yes,semi-furnished
4403000,4880.0,3,1,1,yes,no,no,no,no,2.0,yes,unfurnished
4403000,4920.0,3,1,2,yes,no,no,no,no,1.0,no,semi-furnished
4382000,4950.0,4,1,2,yes,no,no,no,yes,0.0,no,semi-furnished
4375000,3900.0,3,1,2,yes,no,no,no,no,0.0,no,unfurnished
4340000,4500.0,3,2,3,yes,no,no,yes,no,1.0,no,furnished
4340000,1905.0,5,1,2,no,no,yes,no,no,0.0,no,semi-furnished
4340000,4075.0,3,1,1,yes,yes,yes,no,no,2.0,no,semi-furnished
4340000,3500.0,4,1,2,yes,no,no,no,no,2.0,no,furnished
4340000,6450.0,4,1,2,yes,no,no,no,no,0.0,no,semi-furnished
4319000,4032.0,2,1,1,yes,no,yes,no,no,0.0,no,furnished
4305000,4400.0,2,1,1,yes,no,no,no,no,1.0,no,semi-furnished
4305000,10360.0,2,1,1,yes,no,no,no,no,1.0,yes,semi-furnished
4277000,3400.0,3,1,2,yes,no,yes,no,no,2.0,yes,semi-furnished
4270000,6360.0,2,1,1,yes,no,no,no,no,0.0,no,furnished
4270000,6360.0,2,1,2,yes,no,no,no,no,0.0,no,unfurnished
4270000,4500.0,2,1,1,yes,no,no,no,yes,2.0,no,furnished
4270000,2175.0,3,1,2,no,yes,yes,no,yes,0.0,no,unfurnished
4270000,4360.0,4,1,2,yes,no,no,no,no,0.0,no,furnished
4270000,7770.0,2,1,1,yes,no,no,no,no,1.0,no,furnished
4235000,6650.0,3,1,2,yes,yes,no,no,no,0.0,no,semi-furnished
4235000,2787.0,3,1,1,yes,no,yes,no,no,0.0,yes,furnished
4200000,5500.0,3,1,2,yes,no,no,no,yes,0.0,no,unfurnished
4200000,5040.0,3,1,2,yes,no,yes,no,yes,0.0,no,unfurnished
4200000,5850.0,2,1,1,yes,yes,yes,no,no,2.0,no,semi-furnished
4200000,2610.0,4,3,2,no,no,no,no,no,0.0,no,semi-furnished
4200000,2953.0,3,1,2,yes,no,yes,no,yes,0.0,no,unfurnished
4200000,2747.0,4,2,2,no,no,no,no,no,0.0,no,semi-furnished
4200000,4410.0,2,1,1,no,no,no,no,no,1.0,no,unfurnished
4200000,4000.0,4,2,2,no,no,no,no,no,0.0,no,semi-furnished
4200000,2325.0,3,1,2,no,no,no,no,no,0.0,no,semi-furnished
4200000,4600.0,3,2,2,yes,no,no,no,yes,1.0,no,semi-furnished
4200000,3640.0,3,2,2,yes,no,yes,no,no,0.0,no,unfurnished
4200000,5800.0,3,1,1,yes,no,no,yes,no,2.0,no,semi-furnished
4200000,7000.0,3,1,1,yes,no,no,no,no,3.0,no,furnished
4200000,4079.0,3,1,3,yes,no,no,no,no,0.0,no,semi-furnished
4200000,3520.0,3,1,2,yes,no,no,no,no,0.0,yes,semi-furnished
4200000,2145.0,3,1,3,yes,no,no,no,no,1.0,yes,unfurnished
4200000,4500.0,3,1,1,yes,no,yes,no,no,0.0,no,furnished
4193000,8250.0,3,1,1,yes,no,yes,no,no,3.0,no,semi-furnished
4193000,3450.0,3,1,2,yes,no,no,no,no,1.0,no,semi-furnished
4165000,4840.0,3,1,2,yes,no,no,no,no,1.0,no,semi-furnished
4165000,4080.0,3,1,2,yes,no,no,no,no,2.0,no,semi-furnished
4165000,4046.0,3,1,2,yes,no,yes,no,no,1.0,no,semi-furnished
4130000,4632.0,4,1,2,yes,no,no,no,yes,0.0,no,semi-furnished
4130000,5985.0,3,1,1,yes,no,yes,no,no,0.0,no,semi-furnished
4123000,6060.0,2,1,1,yes,no,yes,no,no,1.0,no,semi-furnished
4098500,3600.0,3,1,1,yes,no,yes,no,yes,0.0,yes,furnished
4095000,3680.0,3,2,2,yes,no,no,no,no,0.0,no,semi-furnished
4095000,4040.0,2,1,2,yes,no,no,no,no,1.0,no,semi-furnished
4095000,5600.0,2,1,1,yes,no,no,no,yes,0.0,no,semi-furnished
4060000,5900.0,4,2,2,no,no,yes,no,no,1.0,no,unfurnished
4060000,4992.0,3,2,2,yes,no,no,no,no,2.0,no,unfurnished
4060000,4340.0,3,1,1,yes,no,no,no,no,0.0,no,semi-furnished
4060000,,4,1,3,yes,no,yes,no,yes,2.0,no,semi-furnished
4060000,4320.0,3,1,2,yes,no,no,no,no,2.0,yes,furnished
4025000,3630.0,3,2,2,yes,no,no,yes,no,2.0,no,semi-furnished
4025000,3460.0,3,2,1,yes,no,yes,no,yes,1.0,no,furnished
4025000,5400.0,3,1,1,yes,no,no,no,no,3.0,no,semi-furnished
4007500,4500.0,3,1,2,no,no,yes,no,yes,0.0,no,semi-furnished
4007500,3460.0,4,1,2,yes,no,no,no,yes,0.0,no,semi-furnished
3990000,4100.0,4,1,1,no,no,yes,no,no,0.0,no,unfurnished
3990000,6480.0,3,1,2,no,no,no,no,yes,1.0,no,semi-furnished
3990000,4500.0,3,2,2,no,no,yes,no,yes,0.0,no,semi-furnished
3990000,3960.0,3,1,2,yes,no,no,no,no,0.0,no,furnished
3990000,4050.0,2,1,2,yes,yes,yes,no,no,0.0,yes,unfurnished
3920000,7260.0,3,2,1,yes,yes,yes,no,no,3.0,no,furnished
3920000,5500.0,4,1,2,yes,yes,yes,no,no,0.0,no,semi-furnished
3920000,3000.0,3,1,2,yes,no,no,no,no,0.0,no,semi-furnished
3920000,3290.0,2,1,1,yes,no,no,yes,no,1.0,no,furnished
3920000,3816.0,2,1,1,yes,no,yes,no,yes,2.0,no,furnished
3920000,8080.0,3,1,1,yes,no,no,no,yes,2.0,no,semi-furnished
3920000,2145.0,4,2,1,yes,no,yes,no,no,0.0,yes,unfurnished
3885000,3780.0,2,1,2,yes,yes,yes,no,no,0.0,no,semi-furnished
3885000,3180.0,4,2,2,yes,no,no,no,no,0.0,no,furnished
3850000,5300.0,5,2,2,yes,no,no,no,no,0.0,no,semi-furnished
3850000,3180.0,2,2,1,yes,no,yes,no,no,2.0,no,semi-furnished
3850000,7152.0,3,1,2,yes,no,no,no,yes,0.0,no,furnished
3850000,,2,1,1,yes,no,no,no,no,0.0,no,semi-furnished
3850000,3850.0,2,1,1,yes,no,no,no,no,0.0,no,semi-furnished
3850000,2015.0,3,1,2,yes,no,yes,no,no,0.0,yes,semi-furnished
3850000,2176.0,2,1,2,yes,yes,no,no,no,0.0,yes,semi-furnished
3836000,3350.0,3,1,2,yes,no,no,no,no,0.0,no,unfurnished
3815000,3150.0,2,2,1,no,no,yes,no,no,0.0,no,semi-furnished
3780000,4820.0,3,1,2,yes,no,no,no,no,0.0,no,semi-furnished
3780000,3420.0,2,1,2,yes,no,no,yes,no,1.0,no,semi-furnished
3780000,3600.0,2,1,1,yes,no,no,no,no,0.0,no,semi-furnished
